"Run/Debug","Previous Page of Memory","Shift+Ctrl+,","In Table Memory Rendering"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Embedded Xtext Editor context"
"Source","Toggle Comment","Shift+Ctrl+C","Editing Java Source"
"Text Editing","Join Lines","Ctrl+Alt+J","Embedded Xtext Editor context"
"Editor Commands","Show outline","Ctrl+O","Specfile Editor Context"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Source","References","Shift+Ctrl+G","In C/C++ Views"
"Navigate","Open Type in Hierarchy","Shift+Ctrl+H","C/C++ Editor"
"Source","Toggle Source/Header","Ctrl+Tab","C/C++ Editor"
"Text Editing","Select Previous Word","Shift+Ctrl+Left","Editing Text"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Embedded Xtext Editor context"
"Views","Show View (Bookmarks)","F2","In Windows"
"Editor Commands","Toggle Comment","Shift+Ctrl+C","Editing Text"
"Reverse Debugging Commands","Reverse Step Over","Shift+F6","Debugging C/C++"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Run/Debug","Step Into","F5","Debugging"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Window","Show Contributing Plug-in","Shift+Alt+F3","In Dialogs and Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"File","Properties","Alt+Enter","In Windows"
"Navigate","Go to Line","Ctrl+L","Embedded Xtext Editor context"
"Source","Add Javadoc Comment","Shift+Alt+J","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Open Declaration","F3","In Windows"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Source","Open Element","Shift+Ctrl+T","C/C++ Editor"
"Run/Debug","Run JUnit Test","Shift+Alt+X T","In Windows"
